Book Name,Author,Rating,Number of Reviews,Price
Think Like a Monk: The Secret of How to Harness the Power of Positivity and Be Happy Now,Jay Shetty,4.9,313.0,10080
Ikigai: The Japanese Secret to a Long and Happy Life,Héctor García,4.6,3658.0,615
The Subtle Art of Not Giving a F*ck: A Counterintuitive Approach to Living a Good Life,Mark Manson,4.4,20174.0,10378
Atomic Habits: An Easy and Proven Way to Build Good Habits and Break Bad Ones,James Clear,4.6,4614.0,888
Life's Amazing Secrets: How to Find Balance and Purpose in Your Life,Gaur Gopal Das,4.6,4302.0,1005
Extraordinary Leadership,Robin Sharma,4.1,179.0,0
Sapiens,Yuval Noah Harari,4.6,19994.0,1093
The Intelligent Investor Rev Ed.,Benjamin Graham,4.4,9253.0,18290
Rich Dad Poor Dad: What the Rich Teach Their Kids About Money - That the Poor and Middle Class Do Not!,Robert T. Kiyosaki,4.5,21936.0,837
The 5AM Club: Own Your Morning. Elevate Your Life.,Robin Sharma,4.4,5082.0,8735
Dream With Your Eyes Open: An Entrepreneurial Journey,Ronnie Screwvala,3.6,43.0,0
Influence: The Psychology of Persuasion,Robert B. Cialdini,4.4,3766.0,12356
The Sandman,Neil Gaiman,5.0,1.0,1171
The Alchemist: A Fable About Following Your Dream,Paulo Coelho,4.6,28099.0,10378
How to Win Friends and Influence People,Dale Carnegie,4.5,20872.0,668
"Thinking, Fast and Slow",Daniel Kahneman,4.4,9774.0,1093
Sherlock Holmes: The Definitive Collection,Arthur Conan Doyle,5.0,6.0,3037
Becoming,Michelle Obama,4.6,13848.0,1093
Just Do It: The Nike Spirit in the Corporate World,Donald Katz,4.0,37.0,0
The Warren Buffett Way: 3rd Edition,Robert Hagstrom,4.2,72.0,1005
21 Lessons for the 21st Century,Yuval Noah Harari,4.4,2810.0,1093
Secrets of the Millionaire Mind: Mastering the Inner Game of Wealth,T. Harv Eker,4.6,949.0,10378
"Let's Talk Money: You've Worked Hard for It, Now Make It Work for You",Monika Halan,4.4,419.0,668
Elon Musk,Ashlee Vance,4.5,6456.0,888
The Monk Who Sold His Ferrari,Robin Sharma,4.6,7573.0,351
The Power of Your Subconscious Mind,Joseph Murphy,4.5,18330.0,99
Raavan: Enemy of Aryavarta,Amish Tripathi,4.5,4477.0,836
"The Power of Habit: Why We Do What We Do, and How to Change",Charles Duhigg,4.5,6702.0,888
Can't Hurt Me: Master Your Mind and Defy the Odds,David Goggins,4.8,11213.0,836
Zero to One,Peter Thiel,4.4,5306.0,615
My Gita,Devdutt Pattanaik,4.2,1241.0,501
"Harry Potter and the Philosopher's Stone, Book 1",J.K. Rowling,4.7,11864.0,999
Never Split the Difference: Negotiating as if Your Life Depended on It,Chris Voss,4.7,6440.0,888
Chanakya Neeti,Acharya Chanakya,4.4,92.0,668
The Rudest Book Ever: Insanely Practical Ideas to Free Your Mind from All Bulls--t,Shwetabh Gangwar,4.5,2076.0,501
Start with Why: How Great Leaders Inspire Everyone to Take Action (Int'l Edit.),Simon Sinek,4.5,3823.0,820
The Tatas: How a Family Built a Business and a Nation,Girish Kuber,4.4,53.0,668
Hyperfocus,Chris Bailey,4.5,155.0,323
"Limitless: Upgrade Your Brain, Learn Anything Faster, and Unlock Your Exceptional Life",Jim Kwik,4.7,2361.0,750
Meri Gita,Devdutt Pattanaik,4.2,129.0,668
The Unusual Billionaires,Saurabh Mukherjea,4.4,287.0,1005
To Kill a Mockingbird,Harper Lee,4.5,19930.0,888
A Space of Her Own: Personal Narratives of Twelve Women,Leela Gulati,3.4,9.0,0
The Tales of Beedle the Bard,J.K. Rowling,4.6,3687.0,652
No Rules Rules: Netflix and the Culture of Reinvention,Reed Hastings,4.1,7.0,888
Think and Grow Rich,Napoleon Hill,4.5,22330.0,166
Homo Deus: A Brief History of Tomorrow,Yuval Noah Harari,4.5,5304.0,1093
Inglorious Empire: What the British Did to India,Shashi Tharoor,4.5,301.0,752
Hitchhiker's Guide to the Galaxy,Douglas Adams,4.5,2449.0,323
Talking to Strangers: What We Should Know About the People We Don’t Know,Malcolm Gladwell,4.5,4243.0,1093
"Men Are from Mars, Women Are from Venus: The Classic Guide to Understanding the Opposite Sex",John Gray,4.5,3935.0,13345
Autobiography of a Yogi,Paramahansa Yogananda,4.6,2233.0,1126
Hit Refresh,Satya Nadella,4.4,837.0,13442
FREE: Professional Integrity (A Riyria Chronicles Tale),Michael J. Sullivan,-1,,0
A Gentleman in Moscow,Amor Towles,4.6,16239.0,873
A Game of Thrones: Book 1 of A Song of Ice and Fire,George R. R. Martin,4.7,13129.0,18149
